id,entityids,type,filename,url,latest_change
1607233,['ABCG2'],ALLELE_DEFINITION,ABCG2_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/ABCG2_allele_definition_table.xlsx,2024-01-12 21:33:00.652125
1507441,['CACNA1S'],ALLELE_DEFINITION,CACNA1S_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CACNA1S_allele_definition_table.xlsx,2024-01-12 21:33:00.729567
1507443,['CFTR'],ALLELE_DEFINITION,CFTR_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CFTR_allele_definition_table.xlsx,2024-01-12 21:33:00.903334
1507445,['CYP2B6'],ALLELE_DEFINITION,CYP2B6_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CYP2B6_allele_definition_table.xlsx,2024-01-12 21:33:01.035288
1507447,['CYP2C19'],ALLELE_DEFINITION,CYP2C19_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CYP2C19_allele_definition_table.xlsx,2024-01-12 21:33:01.128359
1507449,['CYP2C9'],ALLELE_DEFINITION,CYP2C9_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CYP2C9_allele_definition_table.xlsx,2024-01-12 21:33:01.287653
1507451,['CYP2D6'],ALLELE_DEFINITION,CYP2D6_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CYP2D6_allele_definition_table.xlsx,2024-01-12 21:33:01.576077
1507453,['CYP3A5'],ALLELE_DEFINITION,CYP3A5_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CYP3A5_allele_definition_table.xlsx,2024-01-12 21:33:01.615634
1507455,['CYP4F2'],ALLELE_DEFINITION,CYP4F2_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/CYP4F2_allele_definition_table.xlsx,2024-01-12 21:33:01.660244
1507457,['DPYD'],ALLELE_DEFINITION,DPYD_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/DPYD_allele_definition_table.xlsx,2024-01-12 21:33:01.794719
1507459,['G6PD'],ALLELE_DEFINITION,G6PD_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/G6PD_allele_definition_table.xlsx,2024-01-12 21:33:02.029879
1507461,['IFNL3'],ALLELE_DEFINITION,IFNL3_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/IFNL3_allele_definition_table.xlsx,2024-01-12 21:33:02.061190
1507463,['MT-RNR1'],ALLELE_DEFINITION,MT-RNR1_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/MT-RNR1_allele_definition_table.xlsx,2024-01-12 21:33:02.110433
1507465,['NUDT15'],ALLELE_DEFINITION,NUDT15_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/NUDT15_allele_definition_table.xlsx,2024-01-12 21:33:02.155022
1507467,['RYR1'],ALLELE_DEFINITION,RYR1_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/RYR1_allele_definition_table.xlsx,2024-01-12 21:33:02.588088
1507469,['SLCO1B1'],ALLELE_DEFINITION,SLCO1B1_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/SLCO1B1_allele_definition_table.xlsx,2024-01-12 21:33:02.663007
1507471,['TPMT'],ALLELE_DEFINITION,TPMT_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/TPMT_allele_definition_table.xlsx,2024-01-12 21:33:02.739559
1507473,['UGT1A1'],ALLELE_DEFINITION,UGT1A1_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/UGT1A1_allele_definition_table.xlsx,2024-01-12 21:33:02.773384
1507475,['VKORC1'],ALLELE_DEFINITION,VKORC1_allele_definition_table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_definition/VKORC1_allele_definition_table.xlsx,2024-01-12 21:33:02.800488
1607271,['ABCG2'],ALLELE_FUNCTION_REFERENCE,ABCG2_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/ABCG2_allele_functionality_reference.xlsx,2024-01-12 21:33:06.703632
1507477,['CACNA1S'],ALLELE_FUNCTION_REFERENCE,CACNA1S_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/CACNA1S_allele_functionality_reference.xlsx,2024-01-12 21:33:06.745581
1507479,['CFTR'],ALLELE_FUNCTION_REFERENCE,CFTR_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/CFTR_allele_functionality_reference.xlsx,2024-01-12 21:33:06.796731
1507481,['CYP2B6'],ALLELE_FUNCTION_REFERENCE,CYP2B6_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/CYP2B6_allele_functionality_reference.xlsx,2024-01-12 21:33:06.846186
1507483,['CYP2C19'],ALLELE_FUNCTION_REFERENCE,CYP2C19_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/CYP2C19_allele_functionality_reference.xlsx,2024-01-12 21:33:06.899885
1507485,['CYP2C9'],ALLELE_FUNCTION_REFERENCE,CYP2C9_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/CYP2C9_allele_functionality_reference.xlsx,2024-01-12 21:33:06.984951
1507487,['CYP2D6'],ALLELE_FUNCTION_REFERENCE,CYP2D6_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/CYP2D6_allele_functionality_reference.xlsx,2024-01-12 21:33:07.121579
1507489,['CYP3A5'],ALLELE_FUNCTION_REFERENCE,CYP3A5_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/CYP3A5_allele_functionality_reference.xlsx,2024-01-12 21:33:07.166533
1507491,['DPYD'],ALLELE_FUNCTION_REFERENCE,DPYD_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/DPYD_allele_functionality_reference.xlsx,2024-01-12 21:33:07.224852
1507493,['G6PD'],ALLELE_FUNCTION_REFERENCE,G6PD_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/G6PD_allele_functionality_reference.xlsx,2024-01-12 21:33:07.321363
1507495,['MT-RNR1'],ALLELE_FUNCTION_REFERENCE,MT-RNR1_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/MT-RNR1_allele_functionality_reference.xlsx,2024-01-12 21:33:07.361057
1507497,['NUDT15'],ALLELE_FUNCTION_REFERENCE,NUDT15_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/NUDT15_allele_functionality_reference.xlsx,2024-01-12 21:33:07.387043
1507499,['RYR1'],ALLELE_FUNCTION_REFERENCE,RYR1_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/RYR1_allele_functionality_reference.xlsx,2024-01-12 21:33:07.543219
1507501,['SLCO1B1'],ALLELE_FUNCTION_REFERENCE,SLCO1B1_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/SLCO1B1_allele_functionality_reference.xlsx,2024-01-12 21:33:07.591416
1507503,['TPMT'],ALLELE_FUNCTION_REFERENCE,TPMT_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/TPMT_allele_functionality_reference.xlsx,2024-01-12 21:33:07.628479
1507505,['UGT1A1'],ALLELE_FUNCTION_REFERENCE,UGT1A1_allele_functionality_reference.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_function_reference/UGT1A1_allele_functionality_reference.xlsx,2024-01-12 21:33:07.654388
622215,,ALLELE_SUMMARY,cpic_alleles.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/allele_summary/cpic_alleles.xlsx,2024-01-12 21:36:01.281650
1607335,['ABCG2'],DIPLOTYPE_PHENOTYPE,ABCG2_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/ABCG2_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:37.869453
1405709,['CACNA1S'],DIPLOTYPE_PHENOTYPE,CACNA1S_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/CACNA1S_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:37.914012
1405711,['CYP2B6'],DIPLOTYPE_PHENOTYPE,CYP2B6_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/CYP2B6_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:38.079984
1405713,['CYP2C19'],DIPLOTYPE_PHENOTYPE,CYP2C19_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/CYP2C19_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:38.234478
1405715,['CYP2C9'],DIPLOTYPE_PHENOTYPE,CYP2C9_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/CYP2C9_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:38.738066
1405717,['CYP2D6'],DIPLOTYPE_PHENOTYPE,CYP2D6_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/CYP2D6_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:41.213193
1405719,['CYP3A5'],DIPLOTYPE_PHENOTYPE,CYP3A5_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/CYP3A5_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:41.241278
1405721,['DPYD'],DIPLOTYPE_PHENOTYPE,DPYD_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/DPYD_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:42.194370
2457319,['G6PD'],DIPLOTYPE_PHENOTYPE,G6PD_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/G6PD_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:46.576696
1405723,['MT-RNR1'],DIPLOTYPE_PHENOTYPE,MT-RNR1_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/MT-RNR1_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:46.601045
1405725,['NUDT15'],DIPLOTYPE_PHENOTYPE,NUDT15_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/NUDT15_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:33:46.627085
1405727,['RYR1'],DIPLOTYPE_PHENOTYPE,RYR1_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/RYR1_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:34:00.341112
1405729,['SLCO1B1'],DIPLOTYPE_PHENOTYPE,SLCO1B1_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/SLCO1B1_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:34:00.549897
1405731,['TPMT'],DIPLOTYPE_PHENOTYPE,TPMT_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/TPMT_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:34:00.742088
1405733,['UGT1A1'],DIPLOTYPE_PHENOTYPE,UGT1A1_Diplotype_Phenotype_Table.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/diplotype_phenotype/UGT1A1_Diplotype_Phenotype_Table.xlsx,2024-01-12 21:34:00.770246
163137,['RxNorm:190521'],DRUG_RESOURCE,abacavir-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/abacavir-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:36.515772
162805,['ATC:C09AA'],DRUG_RESOURCE,"Ace Inhibitors, Plain-Drug_Resource_Mappings.xlsx","https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/Ace%20Inhibitors,%20Plain-Drug_Resource_Mappings.xlsx",2024-01-12 21:34:34.648192
163209,['RxNorm:16689'],DRUG_RESOURCE,aceclofenac-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/aceclofenac-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:34.813028
162781,['RxNorm:154'],DRUG_RESOURCE,acenocoumarol-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/acenocoumarol-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:32.173390
163281,['RxNorm:327361'],DRUG_RESOURCE,adalimumab-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/adalimumab-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:34.283536
163225,['RxNorm:46041'],DRUG_RESOURCE,alendronate-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/alendronate-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:34.301377
162801,['RxNorm:480'],DRUG_RESOURCE,alfentanil-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/alfentanil-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:31.348087
162747,['ATC:L01A'],DRUG_RESOURCE,Alkylating Agents-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/Alkylating%20Agents-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:34.666325
163139,['RxNorm:519'],DRUG_RESOURCE,allopurinol-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/allopurinol-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:36.532753
163149,['RxNorm:2106338'],DRUG_RESOURCE,amifampridine-Drug_Resource_Mappings.xlsx,https://files.cpicpgx.org/data/report/2024-01-12/drug_resource/amifampridine-Drug_Resource_Mappings.xlsx,2024-01-12 21:34:33.758546
